Key,FR,EN
alerts.comment_error,Impossible de mettre à jour le commentaire.,Failed to update comment.
alerts.comment_updated,Commentaire mis à jour avec succès.,Comment updated successfully.
alerts.csv_error,Erreur lors de l'importation du fichier CSV : %s,Error importing CSV file: %s
alerts.csv_imported,Traductions importées avec succès (%d clés mises à jour).,Translations imported successfully (%d keys updated).
alerts.favicon_reset,Favicon rétabli par défaut.,Favicon reset to default.
alerts.lang_switched,Langue modifiée avec succès.,Language changed successfully.
alerts.logo_reset,Logo rétabli par défaut.,Logo reset to default.
alerts.session_missing,Identifiant de session manquant.,Missing session ID.
alerts.settings_saved,Modifications enregistrées avec succès.,Settings saved successfully.
auth.back_to_login,Retour à la page de connexion,Back to login page
auth.confirm_password,Confirmer le mot de passe,Confirm password
auth.create_account,Créer un compte,Create account
auth.create_account_title,Créer un compte staff,Create staff account
auth.email,Adresse e-mail,Email address
auth.forgot_password,Mot de passe oublié ?,Forgot my password
auth.forgot_password_title,Récupérer votre mot de passe,Recover your password
auth.i_have_account,J'ai déjà un compte,I already have an account
auth.password,Mot de passe,Password
auth.passwords_mismatch,Les mots de passe ne correspondent pas !,Passwords do not match!
auth.recover_btn,Envoyer le lien de récupération,Send recovery email
auth.remember_me,Se souvenir de moi,Remember me
auth.reset_for_user,Réinitialiser le mot de passe pour %s,Reset password for %s
auth.reset_password,Réinitialiser le mot de passe,Reset password
auth.signin_btn,Se connecter,Sign in
auth.signin_title,Veuillez vous connecter,Please sign in
auth.username,Nom d'utilisateur,Username
common.actions,Actions,Actions
common.active,Activé,Active
common.all,Tous,All
common.back,Retour,Back
common.cancel,Annuler,Cancel
common.clear,Effacer,Clear
common.close,Fermer,Close
common.comments,Commentaires,Comments
common.confirm,Confirmer,Confirm
common.date,Date,Date
common.delete,Supprimer,Delete
common.description,Description,Description
common.disabled,Désactivé,Disabled
common.download,Télécharger,Download
common.edit,Modifier,Edit
common.error,Erreur,Error
common.export,Exporter,Export
common.filter,Filtrer,Filter
common.import,Importer,Import
common.info,Information,Information
common.name,Nom,Name
common.no,Non,No
common.none,Aucun,None
common.notes,Notes,Notes
common.or,ou,or
common.reset,Réinitialiser,Reset
common.save,Enregistrer,Save
common.search,Rechercher,Search
common.status,Statut,Status
common.success,Succès,Success
common.upload,Téléverser,Upload
common.warning,Avertissement,Warning
common.yes,Oui,Yes
history.col_arrival,Arrivée,Arrival
history.col_comments,Commentaires,Comments
history.col_delete,Supprimer,Delete
history.col_departure,Départ,Departure
history.col_edit,Modifier,Edit
history.col_project,Projet,Project
history.col_user,Usager,User
history.col_workspace,Espace,Workspace
history.no_records,Aucun enregistrement trouvé dans l'historique.,No history records found.
kiosk.btn_activity,Activité,Activity
kiosk.btn_create_user,Créer l'usager,Create user
kiosk.btn_exit,Sortie,Exit
kiosk.btn_register,Enregistrer,Check in
kiosk.create_user_subtitle,Formulaire d'inscription rapide pour un nouveau membre du Fablab,Quick registration form for a new Fablab member
kiosk.create_user_title,Créer un nouvel usager,Create a new user
kiosk.expert_badge,Expert,Expert
kiosk.field_comments,Commentaires,Comments
kiosk.field_documentation,Lien vers la documentation du projet,Link to project documentation
kiosk.field_name,Nom complet,Full name
kiosk.field_project_type,Type de projet,Project type
kiosk.kiosk_touch_mode,Mode Borne Tactile : L'inscription d'un nouvel usager et l'enregistrement d'activités/matériaux doivent être effectués par un médiateur du fablab.,Touch Kiosk Mode: Registering new users and logging activities/materials must be performed by a fablab facilitator.
kiosk.modal_activity_title,Gestionnaire d'activités,Activity Manager
kiosk.modal_comment_clear,Effacer,Clear
kiosk.modal_comment_help,Laissez vide ou cliquez sur « Effacer » pour supprimer le commentaire.,Leave empty or click 'Clear' to remove this comment.
kiosk.modal_comment_label,Remarques / Précisions sur la session,Session Remarks / Details
kiosk.modal_comment_placeholder,"Saisissez un commentaire (ex: découpe laser 3mm, aide au montage, projet étudiant...)","Enter a comment (e.g. 3mm plywood laser cut, assembly assistance, student project...)"
kiosk.modal_comment_save,Enregistrer,Save
kiosk.modal_comment_title,Commentaire de session,Session Comment
kiosk.modal_comment_user,Usager,User
kiosk.new_birthyear,Année de naissance,Birth year
